id,name,location,available number of rooms,standard,price per night,amenities,type of meal plan,meal preference,required car parking space,good review count,bad review count,rating,hotel_description,distance_from_city_center,check_in_time,check_out_time
JPN0000,Mount Fuji Retreat,Kobe,125,Standard,15000,"Bar, Onsen, Spa",Room Only,,True,3891,226,5,A comfortable and convenient hotel offering excellent services and amenities.,5 km,16:00,11:00
JPN0001,Nara Zen Lodge,Nara,73,Luxury,53000,"Restaurant, Business Center, Parking, Onsen, Spa, Room Service",Bed & Breakfast,Vegan,True,3188,921,4,A comfortable and convenient hotel offering excellent services and amenities.,15 km,16:00,12:00
JPN0002,Nara Zen Lodge,Sapporo,44,Standard,12000,"Onsen, Restaurant, Wi-Fi, Room Service, Spa, Pet-friendly",Bed & Breakfast,Vegan,True,1546,548,4,A comfortable and convenient hotel offering excellent services and amenities.,4 km,16:00,10:00
JPN0003,Nara Zen Lodge,Tokyo,176,Budget,7000,"Fitness Center, Spa, Restaurant, Onsen, Business Center",Bed & Breakfast,Non Veg,True,4453,6,5,A comfortable and convenient hotel offering excellent services and amenities.,15 km,15:00,12:00
JPN0004,Nara Zen Lodge,Hiroshima,221,Standard,16000,"Bar, Restaurant, Free Breakfast, Room Service, Wi-Fi, Parking",Room Only,,True,2136,245,5,A comfortable and convenient hotel offering excellent services and amenities.,9 km,16:00,10:00
JPN0005,Kyoto Serenity,Nagoya,193,Standard,14000,"Restaurant, Business Center, Free Breakfast, Fitness Center, Pet-friendly, Wi-Fi",Half Board,Vegan,False,1710,692,4,A comfortable and convenient hotel offering excellent services and amenities.,5 km,16:00,10:00
JPN0006,Osaka Bay Resort,Osaka,25,Budget,5000,"Spa, Room Service, Fitness Center",Half Board,Vegan,False,246,320,3,A comfortable and convenient hotel offering excellent services and amenities.,6 km,15:00,11:00
JPN0007,Nara Zen Lodge,Yokohama,42,Premium,21000,"Room Service, Free Breakfast, Business Center, Fitness Center, Onsen",Room Only,,False,413,995,2,A comfortable and convenient hotel offering excellent services and amenities.,7 km,14:00,10:00
JPN0008,Shibuya Plaza,Osaka,131,Luxury,57000,"Parking, Room Service, Fitness Center",Half Board,Both,True,2437,117,5,A comfortable and convenient hotel offering excellent services and amenities.,7 km,14:00,11:00
JPN0009,Tokyo Tower Inn,Kobe,237,Standard,15000,"Pet-friendly, Onsen, Free Breakfast, Parking",Bed & Breakfast,Non Veg,False,3578,422,5,A comfortable and convenient hotel offering excellent services and amenities.,10 km,14:00,10:00
JPN0010,Hotel Sakura,Sapporo,255,Luxury,59000,"Free Breakfast, Spa, Onsen, Wi-Fi, Pet-friendly, Restaurant",Half Board,Both,True,2232,25,5,A comfortable and convenient hotel offering excellent services and amenities.,3 km,15:00,10:00
JPN0011,Shibuya Plaza,Fukuoka,19,Budget,12000,"Parking, Pet-friendly, Spa, Fitness Center",Room Only,,True,2430,672,4,A comfortable and convenient hotel offering excellent services and amenities.,12 km,14:00,11:00
JPN0012,Hotel Sakura,Tokyo,47,Luxury,59000,"Parking, Business Center, Onsen",Bed & Breakfast,Jain,True,3323,111,5,A comfortable and convenient hotel offering excellent services and amenities.,6 km,16:00,10:00
JPN0013,Tokyo Tower Inn,Osaka,104,Luxury,35000,"Onsen, Free Breakfast, Restaurant, Fitness Center",Room Only,,False,3572,604,5,A comfortable and convenient hotel offering excellent services and amenities.,7 km,14:00,11:00
JPN0014,Tokyo Tower Inn,Yokohama,298,Premium,22000,"Room Service, Pet-friendly, Bar, Parking, Free Breakfast, Fitness Center",Room Only,,False,2608,757,4,A comfortable and convenient hotel offering excellent services and amenities.,10 km,15:00,11:00
JPN0015,Mount Fuji Retreat,Sapporo,255,Premium,20000,"Free Breakfast, Room Service, Onsen",Full Board,Non Veg,True,3185,881,4,A comfortable and convenient hotel offering excellent services and amenities.,13 km,15:00,11:00
JPN0016,Kyoto Serenity,Osaka,19,Budget,7000,"Onsen, Business Center, Free Breakfast",Room Only,,True,3593,517,5,A comfortable and convenient hotel offering excellent services and amenities.,13 km,16:00,12:00
JPN0017,Hotel Sakura,Kyoto,284,Budget,11000,"Room Service, Fitness Center, Pet-friendly, Onsen, Restaurant, Spa",Full Board,Jain,True,1975,908,4,A comfortable and convenient hotel offering excellent services and amenities.,7 km,16:00,12:00
JPN0018,Kyoto Serenity,Kobe,47,Budget,5000,"Spa, Business Center, Free Breakfast, Pet-friendly, Bar, Parking",Full Board,Jain,False,742,191,4,A comfortable and convenient hotel offering excellent services and amenities.,10 km,16:00,11:00
